code,dividPreNoticeDate,dividAgmPumDate,dividPlanAnnounceDate,dividPlanDate,dividRegistDate,dividOperateDate,dividPayDate,dividStockMarketDate,dividCashPsBeforeTax,dividCashPsAfterTax,dividStocksPs,dividCashStock,dividReserveToStockPs
sh.600660,sh.600660,,2023-04-28,2023-03-17,2023-05-11,2023-05-17,2023-05-18,2023-05-18,,1.25,1.125或1.25,0.000000,10派12.5元（含税，扣税后11.25或12.5元）,
sh.600660,sh.600660,,2024-04-26,2024-03-16,2024-05-10,2024-05-16,2024-05-17,2024-05-17,,1.3,1.17或1.3,0.000000,10派13元（含税，扣税后11.7或13元）,
sh.600660,sh.600660,,2025-04-18,2025-03-19,2025-04-30,2025-05-08,2025-05-09,2025-05-09,,1.8,1.62或1.8,0.000000,10派18元（含税，扣税后16.2或18元）,
sh.600660,sh.600660,,2025-09-17,2025-08-20,2025-09-26,2025-10-10,2025-10-13,2025-10-13,,0.9,0.81或0.9,0.000000,10派9元（含税，扣税后8.1或9元）,
sz.000333,sz.000333,,2020-05-23,2020-04-30,2020-05-27,2020-06-01,2020-06-02,2020-06-02,,1.6,1.44或1.6,0.000000,10派16元（含税，扣税后14.4或16元）,
sz.000333,sz.000333,,2021-05-22,2021-04-30,2021-05-26,2021-06-01,2021-06-02,2021-06-02,,1.600585,1.4405262或1.6005847,0.000000,10派16.005847元（含税，扣税后14.405262或16.005847元）,
sz.000333,sz.000333,,2022-05-21,2022-04-30,2022-05-27,2022-06-01,2022-06-02,2022-06-02,,1.700894,1.5308049或1.7008943,0.000000,10派17.008943元（含税，扣税后15.308049或17.008943元）,
sz.000333,sz.000333,,2023-05-20,2023-04-29,2023-05-25,2023-05-31,2023-06-01,2023-06-01,,2.5,2.25或2.5,0.000000,10派25元（含税，扣税后22.5或25元）,
sz.000333,sz.000333,,2024-04-20,2024-03-28,2024-05-09,2024-05-14,2024-05-15,2024-05-15,,3,2.7或3,0.000000,10派30元（含税，扣税后27或30元）,
sz.000333,sz.000333,,2025-06-03,2025-03-29,2025-06-06,2025-06-11,2025-06-12,2025-06-12,,3.5,3.15或3.5,0.000000,10派35元（含税，扣税后31.5或35元）,
sz.000333,sz.000333,,2025-09-25,2025-08-30,2025-11-12,2025-11-17,2025-11-18,2025-11-18,,0.5,0.45或0.5,0.000000,10派5元（含税，扣税后4.5或5元）,
sz.000651,sz.000651,,2020-06-02,2020-04-30,2020-06-04,2020-06-10,2020-06-11,2020-06-11,,1.2,1.08或1.2,0.000000,10派12元（含税，扣税后10.8或12元）,
sz.000651,sz.000651,,2020-11-03,2020-08-31,2020-11-06,2020-11-11,2020-11-12,2020-11-12,,,,0.000000,10派10元（含税，扣税后9或10元）,
sz.000651,sz.000651,,2020-11-03,2020-08-31,2020-11-06,2020-11-11,2020-11-12,2020-11-12,,1,0.9或1,0.000000,10派10元（含税，扣税后9或10元）,
sz.000651,sz.000651,,2021-07-01,2021-04-29,2021-08-14,2021-08-20,2021-08-23,2021-08-23,,3,2.7或3,0.000000,10派30元（含税，扣税后27或30元）,
sz.000651,sz.000651,,2022-03-01,2022-02-14,2022-03-31,2022-04-07,2022-04-08,2022-04-08,,1,0.9或1,0.000000,10派10元（含税，扣税后9或10元）,
sz.000651,sz.000651,,2022-06-08,2022-04-30,2022-07-29,2022-08-04,2022-08-05,2022-08-05,,2,1.8或2,0.000000,10派20元（含税，扣税后18或20元）,
sz.000651,sz.000651,,2022-12-29,2022-12-13,2023-02-21,2023-02-24,2023-02-27,2023-02-27,,1,0.9或1,0.000000,10派10元（含税，扣税后9或10元）,
sz.000651,sz.000651,,2023-07-01,2023-04-29,2023-08-02,2023-08-08,2023-08-09,2023-08-09,,1,0.9或1,0.000000,10派10元（含税，扣税后9或10元）,
sz.000651,sz.000651,,2024-06-29,2024-04-30,2024-08-22,2024-08-27,2024-08-28,2024-08-28,,2.38,2.142或2.38,0.000000,10派23.8元（含税，扣税后21.42或23.8元）,
sz.000651,sz.000651,,2025-04-23,2025-01-01,2025-05-09,2025-05-14,2025-05-15,2025-05-15,,1,0.9或1,0.000000,10派10元（含税，扣税后9或10元）,
sz.000651,sz.000651,,2025-07-01,2025-04-28,2025-08-22,2025-08-28,2025-08-29,2025-08-29,,2,1.8或2,0.000000,10派20元（含税，扣税后18或20元）,
sz.000651,sz.000651,,2025-11-25,2025-10-31,2026-01-16,2026-01-22,2026-01-23,2026-01-23,,1,0.9或1,0.000000,10派10元（含税，扣税后9或10元）,
